                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     32,                0.35435,                0.33667,                0.30752,                0.90929,                0.99777,                      1,                  0.995,                0.99066,                0.99777,                      1,                  0.995,                  0.995,                0.16116,                 0.1328,                0.18919,                0.77452,               0.006931,               0.006931,               0.006931
                     33,                0.35354,                0.35542,                 0.3045,                0.91622,                0.99766,                      1,                  0.995,                0.98805,                0.99766,                      1,                  0.995,                  0.995,                0.24252,                0.13676,                 0.2363,                0.82724,               0.006832,               0.006832,               0.006832
                     34,                0.34495,                0.33341,                 0.2993,                0.91617,                0.99777,                      1,                  0.995,                  0.995,                0.99777,                      1,                  0.995,                  0.995,                0.19312,                0.11993,                0.30294,                0.78206,               0.006733,               0.006733,               0.006733
                     35,                0.33961,                0.31587,                0.29409,                0.91223,                0.99774,                      1,                  0.995,                  0.995,                0.99774,                      1,                  0.995,                  0.995,                0.21553,                 0.1493,                0.21841,                0.80644,               0.006634,               0.006634,               0.006634
                     36,                0.34261,                0.31059,                0.29755,                0.90593,                0.99766,                      1,                  0.995,                  0.995,                0.99766,                      1,                  0.995,                  0.995,                0.15903,                0.12232,                0.22615,                0.77789,               0.006535,               0.006535,               0.006535
                     37,                0.33203,                0.31544,                0.28634,                0.91182,                 0.9978,                      1,                  0.995,                  0.995,                 0.9978,                      1,                  0.995,                  0.995,                0.13323,                0.12485,                  0.174,                0.76637,               0.006436,               0.006436,               0.006436
                     38,                0.34846,                0.31671,                0.29428,                0.91161,                0.99778,                      1,                  0.995,                  0.995,                0.99778,                      1,                  0.995,                  0.995,                0.20351,                0.12276,                0.25494,                0.79444,               0.006337,               0.006337,               0.006337
                     39,                0.34274,                 0.3192,                0.29298,                0.91069,                0.99785,                      1,                  0.995,                  0.995,                0.99785,                      1,                  0.995,                  0.995,                0.15078,                0.13377,                0.23053,                0.76702,               0.006238,               0.006238,               0.006238
                     40,                0.32409,                0.30826,                0.27526,                0.89861,                0.99787,                      1,                  0.995,                  0.995,                0.99787,                      1,                  0.995,                  0.995,                0.15591,                0.11813,                0.16506,                0.77029,               0.006139,               0.006139,               0.006139
                     41,                0.32424,                0.31983,                0.27735,                0.89909,                0.99783,                      1,                  0.995,                  0.995,                0.99783,                      1,                  0.995,                  0.995,                0.21952,                0.12335,                0.22301,                0.79562,                0.00604,                0.00604,                0.00604
                     42,                0.31811,                0.29677,                0.27261,                 0.9049,                0.99777,                      1,                  0.995,                  0.995,                0.99777,                      1,                  0.995,                  0.995,                0.17844,                 0.1251,                0.15359,                0.77821,               0.005941,               0.005941,               0.005941
                     43,                0.31816,                0.29659,                0.27116,                0.89699,                0.99781,                      1,                  0.995,                0.99098,                0.99781,                      1,                  0.995,                  0.995,                0.20919,                0.11101,                0.29732,                0.80714,               0.005842,               0.005842,               0.005842
                     44,                0.31425,                 0.3057,                0.26371,                0.89659,                 0.9978,                      1,                  0.995,                0.99039,                 0.9978,                      1,                  0.995,                  0.995,                0.13764,                0.11322,                0.19541,                0.77532,               0.005743,               0.005743,               0.005743
                     45,                0.31885,                0.30696,                0.26984,                0.89935,                0.99778,                      1,                  0.995,                0.99115,                0.99778,                      1,                  0.995,                  0.995,                0.19388,                0.11933,                0.18011,                0.78576,               0.005644,               0.005644,               0.005644
                     46,                0.31795,                0.33463,                0.27186,                0.89204,                 0.9979,                      1,                  0.995,                  0.995,                 0.9979,                      1,                  0.995,                  0.995,                 0.1715,                0.13292,                0.20142,                0.77949,               0.005545,               0.005545,               0.005545
                     47,                0.31439,                0.30422,                0.26405,                0.89831,                0.99776,                      1,                  0.995,                 0.9912,                0.99776,                      1,                  0.995,                  0.995,                0.15914,                0.12023,                0.23544,                0.77907,               0.005446,               0.005446,               0.005446
                     48,                0.31475,                0.32088,                0.26329,                0.88989,                0.99781,                      1,                  0.995,                  0.995,                0.99781,                      1,                  0.995,                  0.995,                0.15834,                0.15491,                 0.1862,                0.77895,               0.005347,               0.005347,               0.005347
                     49,                0.30369,                0.29639,                0.26174,                 0.8994,                0.99777,                      1,                  0.995,                  0.995,                0.99777,                      1,                  0.995,                  0.995,                0.15677,                0.13279,                0.23335,                0.77652,               0.005248,               0.005248,               0.005248
                     50,                0.29655,                0.29442,                0.25189,                 0.9028,                0.99781,                      1,                  0.995,                  0.995,                0.99781,                      1,                  0.995,                  0.995,                0.19833,                0.12447,                0.15446,                0.79816,               0.005149,               0.005149,               0.005149
                     51,                0.29506,                 0.2999,                0.25508,                0.89965,                0.99783,                      1,                  0.995,                  0.995,                0.99783,                      1,                  0.995,                  0.995,                  0.182,                0.11734,                0.20325,                0.78627,                0.00505,                0.00505,                0.00505
                     52,                0.30208,                 0.3039,                0.25134,                0.89104,                0.99774,                      1,                  0.995,                  0.995,                0.99774,                      1,                  0.995,                  0.995,                0.19097,                0.13939,                0.19808,                0.79709,               0.004951,               0.004951,               0.004951
                     53,                  0.288,                 0.2856,                0.24987,                0.88585,                0.99776,                      1,                  0.995,                  0.995,                0.99776,                      1,                  0.995,                  0.995,                0.15713,                0.12865,                0.14095,                0.77404,               0.004852,               0.004852,               0.004852
                     54,                 0.3028,                0.28926,                0.25742,                0.89135,                0.99779,                      1,                  0.995,                  0.995,                0.99779,                      1,                  0.995,                  0.995,                0.11846,                 0.1198,                0.17693,                0.75768,               0.004753,               0.004753,               0.004753
                     55,                0.29085,                0.28003,                0.24875,                0.89225,                0.99779,                      1,                  0.995,                  0.995,                0.99779,                      1,                  0.995,                  0.995,                0.12351,                0.10387,                 0.1454,                0.76128,               0.004654,               0.004654,               0.004654
                     56,                0.28349,                 0.2785,                0.23719,                0.89389,                0.99779,                      1,                  0.995,                  0.995,                0.99779,                      1,                  0.995,                  0.995,                0.12529,                0.11158,                0.13813,                0.76185,               0.004555,               0.004555,               0.004555
                     57,                0.27696,                0.28593,                0.23665,                0.88846,                0.99779,                      1,                  0.995,                0.99037,                0.99779,                      1,                  0.995,                  0.995,                0.13396,                0.10518,                0.14662,                0.76584,               0.004456,               0.004456,               0.004456
                     58,                0.28079,                0.28836,                0.23763,                0.89174,                0.99784,                      1,                  0.995,                  0.995,                0.99784,                      1,                  0.995,                  0.995,                0.14767,                0.10928,                0.14271,                0.76826,               0.004357,               0.004357,               0.004357
                     59,                0.28943,                0.30009,                0.23599,                0.89056,                 0.9978,                      1,                  0.995,                  0.995,                 0.9978,                      1,                  0.995,                  0.995,                0.10758,                0.12105,                0.10855,                0.75708,               0.004258,               0.004258,               0.004258
                     60,                0.27614,                0.28014,                0.23052,                0.88311,                0.99782,                      1,                  0.995,                  0.995,                0.99782,                      1,                  0.995,                  0.995,                0.11568,                0.11297,                0.12386,                0.76036,               0.004159,               0.004159,               0.004159
                     61,                0.26978,                0.28175,                0.22701,                0.88748,                0.99775,                      1,                  0.995,                  0.995,                0.99775,                      1,                  0.995,                  0.995,                0.13809,                0.12219,                0.27262,                0.76767,                0.00406,                0.00406,                0.00406
                     62,                0.27795,                0.26643,                0.22999,                0.88774,                0.99778,                      1,                  0.995,                  0.995,                0.99778,                      1,                  0.995,                  0.995,                0.10772,                0.12411,                 0.1329,                0.75444,               0.003961,               0.003961,               0.003961
                     63,                0.26873,                 0.2758,                0.22468,                 0.8829,                0.99776,                      1,                  0.995,                  0.995,                0.99776,                      1,                  0.995,                  0.995,                0.13791,                0.13848,                 0.1773,                0.76605,               0.003862,               0.003862,               0.003862
